"date","acn_volume","adbe_volume","amd_volume","crm_volume","ibm_volume","intc_volume","intu_volume","nflx_volume","sony_volume","txn_volume"
"2013-05-23","2760000","3339700","33152600","12218700","5417339","38132900","4314700","16198000","10012400","7566200"
"2013-05-24","2207000","3766200","20655600","21576800","3447407","30861700","4359400","11808300","4413600","4786900"
"2013-05-28","2105300","2655900","19603800","10067300","4196029","31153700","2773600","39525500","4375900","5578500"
"2013-05-29","2457800","3280900","16279300","8799500","3597612","31653900","3255000","34101900","6806300","7809600"
"2013-05-30","2195600","2755500","15229500","5557500","4602086","26299900","2261100","24087700","14628500","15275100"
"2013-05-31","3134700","3133200","17715000","5758500","5176654","47793200","2534700","25416300","4173000","8188900"
"2013-06-03","2018900","2884800","23938100","8969800","3474812","76493500","2645100","21270900","7272700","8403800"
"2013-06-04","3340300","5249400","19612600","29720600","3763822","68515500","2138900","23006900","4072500","9021500"
"2013-06-05","2433400","3385600","15404600","18556600","4409308","53335200","3088800","33096000","5199500","6851900"
"2013-06-06","2721400","3760900","20863700","10970900","3848652","40020000","2485400","26069400","4586500","6104900"
"2013-06-07","2916700","2895300","12026500","10146600","3089256","35539400","2852300","15299200","3856800","5828200"
"2013-06-10","2127600","1833900","32378100","10800800","2774306","29780800","2112100","13812400","3096000","7941300"
"2013-06-11","1971000","2487100","20201200","8942900","2943862","27077800","2427500","14213500","4832100","9795200"
"2013-06-12","1462600","2124500","14600100","7769100","3566651","24535200","1327800","19108600","3401500","8378600"
"2013-06-13","2150500","2002400","14192300","5839000","3032877","27707000","2423500","18511500","10546500","7036400"
"2013-06-14","1367400","2320100","14395600","4942800","2933507","24762700","1456400","12495700","6000900","6267600"
"2013-06-17","2473400","2677100","31973300","6521400","3368015","42643200","2262300","35851200","8074400","6750900"
"2013-06-18","1862600","5433900","22841700","3207200","3428579","36674300","2710400","17476900","4598500","5691600"
"2013-06-19","1876400","12566000","24193500","4960400","2977021","28843900","2079600","22353100","5014200","5850300"
"2013-06-20","2885900","5488700","26704000","5537300","4722481","63565700","2199600","21116200","5459900","8734600"
"2013-06-21","4554900","6294400","32752000","15540200","9324881","67754000","2572100","23398200","3705300","14860300"
"2013-06-24","2516500","4492900","29135600","8583200","4556585","49145200","1952200","17896200","2744700","9087400"
